publication,filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
PAGES2kv2,Ant-TALDICE.Stenni.2010.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-TalosDome.Stenni.2002.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-TaylorDome.Steig.2000.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-US-ITASE-2000-1.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-US-ITASE-2002-4.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-VLG.Bertler.2011.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-Vostok.Ekaykin.2014.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-WDC05A.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,Depth,m,NA,NA,NA,NA,NA
PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Ant-WDC06A.Steig.2013.lpd,glacier ice,measured,Dd,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-Agassiz.Vinther.2008.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,Thickness,mwe,NA,NA,NA,NA,NA
PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,measured,Na,ng/g,1,Sea Ice,NA,NA,NA
PAGES2kv2,Arc-Arjeplog.Bjorklund.2014.lpd,tree,measured,Density,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-Arjeplog.Bjorklund.2014.lpd,tree,measured,Blueintensity,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-Armarnaes.Bjorklund.2012.lpd,tree,measured,Density,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-Austfonna.Isaksson.2005.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-Avam-Taimyr.Briffa.2008.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,measured,Layer Thickness,mm,2,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,measured,Layer Thickness,mm,2,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-BlueLake.Bird.2008.lpd,lake sediment,measured,Thickness,cm,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-CampCentury.Fisher.1969.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-Crete.Vinther.2010.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-DevonIceCap.Fisher.1983.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-Dye.Vinther.2010.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-Forfjorddalen.McCarroll.2013.lpd,tree,measured,MXD,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-GISP2.Grootes.1997.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-GRIP.Vinther.2010.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,measured,Thickness,cm,NA,NA,NA,NA,NA
PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,measured,Duration,AD,NA,NA,NA,NA,NA
PAGES2kv2,Arc-HalletLake.McKay.2008.lpd,lake sediment,measured,Bsi,mg/g,NA,NA,NA,NA,NA
wiki_lipd_files,Arc-Hvítárvatn.Larsen.2011.lpd,lake sediment,measured,Thickness,cm,NA,NA,NA,NA,NA
wiki_lipd_files,Arc-Hvítárvatn.Larsen.2011.lpd,lake sediment,measured,VarveThickness,cm,NA,NA,NA,NA,NA
PAGES2kv2,Arc-Indigirka.Hughes.1999.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-Kittelfjall.Bjorklund.2012.lpd,tree,measured,Density,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
wiki_lipd_files,Arc-Kongressvatnet.D'Andrea.2012.lpd,lake sediment,measured,Uk37,NA,NA,NA,NA,NA,NA
PAGES2kv2,Arc-Laanila.Lindholm.2013.lpd,tree,measured,MXD,NaN,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-Laanila.Lindholm.2013.lpd,tree,measured,TRW,NaN,NA,NA,NA,NA,NA
PAGES2kv2,Arc-Laanila.Lindholm.2013.lpd,tree,measured,Hindex,NaN,NA,NA,NA,NA,NA
PAGES2kv2,Arc-LakeC2.Lamoureux.1996.lpd,lake sediment,measured,Thickness,mm,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-LakeDonardBaffinIsland.Moore.2001.lpd,lake sediment,measured,Thickness,mm,1,Temperature,Air Surface,Air Surface Temperature,deg C
wiki_lipd_files,Arc-LakeE.D'Andrea.2011.lpd,lake sediment,measured,Ghostmeasured,NotApplicable,NA,NA,NA,NA,NA
PAGES2kv2,Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd,lake sediment,measured,Thickness,mm,1,Temperature,Air Surface,Air Surface Temperature,deg C
wiki_lipd_files,Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,measured,X radiograph dark layer,dark_sum,NA,NA,NA,NA,NA
wiki_lipd_files,Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,measured,VarveProperty,dark_sum,NA,NA,NA,NA,NA
PAGES2kv2,Arc-LenaRiver.McDonald.1998.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,measured,Massacum,g.cm-2.a-1,1,Temperature,Air 600M,Air 600M Temperature,NA
PAGES2kv2,Arc-NGTB16.Schwager.1998.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-PennyIceCapP96.Fisher.1998.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-PennyIceCapP96.Okuyama.2003.lpd,glacier ice,measured,Melt,percent,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-PolarUrals.Wilson.2015.lpd,tree,measured,Density,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-PrinceOfWales.Kinnard.2011.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Arc-SoperLake.Hughen.2000.lpd,lake sediment,measured,Thickness,mm,1,Temperature,NA,NA,NA
PAGES2kv2,Arc-StoreggaSlide.Sejrup.2011.lpd,marine sediment,measured,D18O,permil,1,Temperature,Sea Surface,Sea Surface Temperature,deg C
PAGES2kv2,Arc-Tjeggelvas.Bjorklund.2012.lpd,tree,measured,Density,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-Tornetrask.Melvin.2012.lpd,tree,measured,Density,count,NA,NA,NA,NA,NA
wiki_lipd_files,Arc-VøringPlateau.Berner.2011.lpd,marine sediment,measured,Ghostmeasured,NotApplicable,NA,NA,NA,NA,NA
PAGES2kv2,Arc-WindyDome.Henderson.2011.lpd,glacier ice,measured,Melt,percent,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Arc-WindyDome.Henderson.2011.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
wiki_lipd_files,Arc-Yukon.D'Arrigo.2006.lpd,tree,measured,Trsgi,NA,NA,NA,NA,NA,NA
wiki_lipd_files,Arc-Yukon.D'Arrigo.2006.lpd,tree,measured,TRW,NA,NA,NA,NA,NA,NA
PAGES2kv2,Asi-AltaiAktru.Cook.2005.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiDjasator.Cook.2011.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiJablonsky.Cook.2000.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiKorumdu.Cook.2005.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiKuraisky.Cook.2011.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiKuraiskySteppe.Cook.2011.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiSamakhaSteppe.Cook.2011.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiTjute.Cook.2011.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiUlaganValley.Cook.2011.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-AltaiUstUlaganLake.Cook.2005.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BARELC.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BHUTSP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BHUTTD.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT001.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT002.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT003.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT004.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT005.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT006.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT008.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT009.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT010.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT011.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BT018.Cook.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-BURGPW.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CENTIB.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN004.Wu.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN005.Sheppard.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN006.Sheppard.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN016.Li.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN017.Li.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN018.Li.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN019.Li.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN020.Li.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN021.Li.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN026.Wright.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN029.Krusic.2010.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN037.Fan.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN038.Fan.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN039.Fan.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN040.Fan.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN041.Fan.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN042.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN043.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN044.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN045.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN046.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN047.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN048.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN049.Brauning.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN050.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN051.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN052.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN053.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN054.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN055.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN056.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN057.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN058.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN059.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN060.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN061.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN062.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN063.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN064.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN065.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-CHIN066.Shao.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,Dust,permil,1,P,NA,NA,NA
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,Chloride,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,Nitrate,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Dasuopu.Thompson.2000.lpd,glacier ice,measured,Sulfate,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-DEZQIN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-DQHZHO.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-DUSHJP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-ENEPAB.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-ESPERG.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-ESPPAK.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-GANGCD.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-GHEGAN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-GOUQIN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,D18O,permil,1,Temperature,Air Condensationlevel,Air Condensationlevel Temperature,deg C
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,Dust,count/mL,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,Chloride,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,Sulfate,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-Guliya.Thompson.1997.lpd,glacier ice,measured,Nitrate,ppb,NA,NA,NA,NA,NA
PAGES2kv2,Asi-HBHXJP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-HBLXJP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-HBMXJP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-HEBQIN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-HRPCSM.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-Hushre.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-HXBURU.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-HYGJUP.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
PAGES2kv2,Asi-INDI015.Borgaonkar.2013.lpd,tree,measured,Trsgi,NA,1,Temperature,Air Surface,Air Surface Temperature,deg C
